[Sat Nov  8 20:00:26 2025] TID-001 | 102 -> 103 | $207.00 | STATUS: SUCCESS
[Sat Nov  8 20:00:27 2025] TID-002 | 102 -> 101 | $207.00 | STATUS: SUCCESS
[Sat Nov  8 20:00:27 2025] TID-003 | 103 -> 101 | $94.00 | STATUS: SUCCESS
[Sat Nov  8 20:00:27 2025] TID-004 | 103 -> 101 | $197.00 | STATUS: SUCCESS
[Sat Nov  8 20:00:27 2025] TID-005 | 102 -> 101 | $92.00 | STATUS: SUCCESS
[Sat Nov  8 20:00:57 2025] TID-006 | 101 -> 103 | $110.00 | STATUS: SUCCESS
[Sat Nov  8 20:00:57 2025] TID-007 | 102 -> 103 | $189.00 | STATUS: SUCCESS
[Sat Nov  8 20:00:57 2025] TID-008 | 103 -> 101 | $52.00 | STATUS: SUCCESS
[Sat Nov  8 20:00:58 2025] TID-009 | 103 -> 101 | $182.00 | STATUS: SUCCESS
[Sat Nov  8 20:00:58 2025] TID-010 | 101 -> 103 | $251.00 | STATUS: SUCCESS
[Sat Nov  8 20:13:14 2025] TID-011 | 101 | $166.00 | STATUS: SUCCESS
[Sun Nov  9 10:52:51 2025] TID-001 | 101 | $500.00 | STATUS: SUCCESS
[Sun Nov  9 10:53:36 2025] TID-002 | 101 | $500.00 | STATUS: SUCCESS
[Sun Nov  9 10:53:49 2025] TID-003 | 103 -> 102 | $211.00 | STATUS: SUCCESS
[Sun Nov  9 10:53:49 2025] TID-004 | 102 -> 101 | $82.00 | STATUS: SUCCESS
[Sun Nov  9 10:53:49 2025] TID-005 | 103 -> 101 | $262.00 | STATUS: SUCCESS
[Sun Nov  9 10:53:50 2025] TID-006 | 101 -> 102 | $152.00 | STATUS: SUCCESS
[Sun Nov  9 10:53:50 2025] TID-007 | 101 -> 103 | $274.00 | STATUS: SUCCESS
[Sun Nov  9 10:54:23 2025] TID-008 | 101 | $5000.00 | STATUS: SUCCESS
[Sun Nov  9 11:02:46 2025] TID-002 | 102 -> 101 | $500.00 | STATUS: UNSAFE
[Sun Nov  9 11:02:46 2025] TID-001 | 101 -> 102 | $500.00 | STATUS: SUCCESS
[Sun Nov  9 11:04:26 2025] TID-003 | 102 -> 103 | $500.00 | STATUS: SUCCESS
[Sun Nov  9 11:06:47 2025] TID-004 | 101 | $500.00 | STATUS: SUCCESS
[Sun Nov  9 11:07:45 2025] TID-002 | 102 -> 101 | $500.00 | STATUS: SUCCESS
